Author(s),Year/Info,n,r,rxx,ryy,,
Antion,Gau,148,-0.13,0.65,1,Objective,CC
Thorpe,Gau,310,-0.164,0.738,0.668,,College
Gallagher,,209,-0.25,0.84,0.8,,College
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
