Author(s),Year/Info,n,r,rxx,ryy,,
Smith,Gau,106,-0.38,0.38,0.7,,College
Thorpe,1999 (Gau),310,-0.106,0.85,0.668,,College
Gallagher,,209,-0.11,0.75,0.8,,College
Brunell,,99,-0.09,0.85,0.82,,College
Fields,,290,0.053,0.85,0.78,,College
Anzivino,,252,-0.11,0.85,0.799,,College
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
